time,observed,treatment,dense_CLUSTERSC,dense_PDA,sparse_FSCM,sparse_CLUSTERSC,sparse_FDID
0,0.943,0,1.235,0.881,1.136,0.953,1.005
1,0.902,0,0.779,0.89,0.927,0.561,0.926
2,1.282,0,0.792,0.815,0.397,0.504,0.592
3,0.818,0,1.157,1.094,0.534,0.341,0.775
4,1.038,0,0.656,0.639,0.476,0.288,0.387
5,0.696,0,0.542,0.82,0.23,0.253,0.223
6,0.456,0,0.725,0.812,-0.142,0.006,0.402
7,-0.217,0,0.451,0.456,-0.124,-0.102,0.015
8,0.298,0,0.293,0.22,-0.158,0.04,-0.083
9,0.199,0,0.109,0.072,0.263,0.31,0.007
10,-0.099,0,-0.097,-0.157,0.197,0.124,-0.242
11,0.501,0,0.014,0.038,0.06,0.003,0.132
12,0.179,0,-0.108,-0.189,-0.187,-0.269,-0.288
13,0.278,0,0.114,-0.015,-0.026,0.094,-0.253
14,-0.554,0,-0.152,-0.235,0.037,0.083,-0.192
15,-0.87,0,-0.882,-0.878,-0.191,0.072,-0.587
16,-0.869,0,-0.58,-0.535,-0.181,-0.11,-0.374
17,-0.83,0,-0.816,-0.901,-0.512,-0.153,-0.721
18,-0.849,0,-0.993,-0.835,0.036,0.358,-0.349
19,-1.105,0,-0.818,-0.842,-0.249,0.164,-0.267
20,-1.187,0,-0.479,-0.51,-0.019,0.18,-0.372
21,0.159,0,-0.129,-0.149,0.029,0.23,-0.204
22,0.358,0,0.01,-0.006,0.293,0.636,0.019
23,0.757,0,0.178,0.121,0.634,0.626,0.013
24,0.238,0,0.117,0.459,0.383,0.695,0.368
25,0.317,0,0.462,0.701,0.771,0.906,0.744
26,0.199,0,0.603,0.778,0.502,0.713,0.788
27,1.397,0,0.966,1.082,0.993,0.995,1.005
28,1.215,0,1.302,1.205,1.148,1.158,1.012
29,1.255,0,1.446,1.521,1.474,1.258,1.651
30,1.354,0,1.876,1.66,1.045,0.814,1.244
31,1.876,0,1.937,1.925,1.749,1.13,1.681
32,2.223,0,1.846,1.899,1.897,1.577,1.954
33,1.524,0,1.783,1.927,1.92,1.501,2.085
34,1.783,0,1.718,1.819,1.756,1.188,2.161
35,2.057,0,1.78,1.803,1.707,1.252,2.245
36,2.297,0,2.453,2.212,1.946,1.535,2.224
37,2.528,0,2.492,2.014,2.089,1.682,2.119
38,3.137,0,2.562,2.168,2.564,2.157,2.281
39,2.185,0,2.339,2.234,2.524,2.115,2.223
40,2.047,0,2.13,2.164,2.628,2.323,2.409
41,2.263,0,2.302,2.232,2.839,2.449,2.388
42,2.397,0,2.33,2.475,3.078,2.927,2.758
43,2.409,0,2.201,2.414,2.819,2.789,2.475
44,2.742,0,2.608,2.571,2.837,2.885,2.55
45,2.904,0,2.845,2.504,2.805,2.825,2.494
46,2.802,0,3.072,2.867,3.17,3.247,2.783
47,2.597,0,2.896,2.903,3.596,3.28,2.771
48,2.613,0,2.524,2.528,3.371,3.2,2.752
49,2.215,0,2.284,2.583,2.978,3.155,2.677
50,2.406,0,2.373,2.621,2.728,3.146,2.722
51,2.523,0,2.903,2.738,2.93,3.114,2.771
52,3.009,0,2.967,2.719,2.894,2.938,2.435
53,3.194,0,3.095,2.754,2.984,2.809,2.405
54,3.051,0,2.443,2.337,2.422,2.29,1.941
55,2.869,0,2.629,2.564,2.687,2.571,2.219
56,2.536,0,2.693,2.571,2.501,2.379,2.183
57,1.932,0,2.012,2.299,2.624,2.317,2.152
58,1.798,0,1.788,1.968,2.154,1.925,1.851
59,1.795,0,1.91,2.043,1.8,1.878,1.833
60,1.452,0,1.762,1.875,2.102,2.039,1.549
61,1.376,0,1.891,1.958,2.026,1.833,1.812
62,1.504,0,1.796,1.751,2.095,1.63,1.694
63,1.672,0,1.336,1.468,1.297,1.402,1.451
64,1.667,0,1.362,1.509,1.364,1.407,1.809
65,1.212,0,1.166,1.267,0.991,1.354,1.522
66,1.546,0,1.432,1.358,1.235,1.459,1.568
67,1.748,0,2.129,1.319,1.161,1.521,1.485
68,1.841,0,1.356,1.224,1.248,1.518,1.326
69,1.598,0,1.6,1.614,1.316,1.637,1.411
70,1.934,0,2.016,1.97,1.804,2.111,1.542
71,1.986,0,2.002,1.768,1.632,1.701,1.52
72,2.417,0,2.263,2.019,1.353,1.473,1.941
73,2.175,0,2.09,1.923,1.582,1.582,1.587
74,2.13,0,2.458,2.258,1.936,1.797,1.899
75,2.365,0,2.308,2.248,2.424,1.975,2.006
76,2.339,0,2.338,2.288,2.364,2.195,1.938
77,2.45,0,2.328,2.315,2.447,2.161,1.811
78,2.219,0,2.448,2.272,2.393,2.105,1.915
79,1.754,0,1.792,2.324,2.091,1.941,1.624
80,2.154,0,2.185,2.252,2.451,2.05,1.761
81,2.268,0,2.486,2.173,2.175,1.798,1.76
82,2.262,0,2.144,1.838,1.744,1.58,1.554
83,2.42,0,2.029,2.024,2.138,1.737,1.71
84,1.561,0,1.626,1.726,2.148,1.707,1.377
85,1.965,0,1.848,1.771,2.17,1.745,1.515
86,1.432,0,1.095,1.38,1.714,1.21,1.038
87,1.354,0,1.544,1.384,1.535,1.374,0.99
88,1.314,0,1.504,1.457,1.685,1.278,1.191
89,1.69,0,1.358,1.337,1.616,1.066,1.191
90,1.112,0,1.398,1.374,1.298,0.862,0.914
91,0.97,0,1.129,0.889,1.463,1.105,1.29
92,0.84,0,0.63,0.707,0.711,0.774,0.9
93,0.429,0,0.125,0.358,0.568,0.837,0.421
94,-0.375,0,0.034,0.392,0.948,1.054,0.555
95,-0.338,0,0.056,0.172,0.453,0.73,0.192
96,0.518,0,0.123,0.011,-0.038,0.539,-0.214
97,0.268,0,-0.092,-0.209,-0.018,0.472,-0.255
98,0.697,0,0.009,-0.321,-0.059,0.417,-0.278
99,-0.606,0,-0.719,-0.356,0.049,0.359,-0.111
100,-1.137,0,-0.889,-0.66,-0.411,0.208,-0.546
101,-1.45,0,-0.929,-0.636,-0.563,0.002,-0.375
102,-1.1,0,-1.003,-0.758,-0.132,0.381,-0.288
103,-0.925,0,-0.971,-0.68,-0.362,-0.01,-0.59
104,-1.046,0,-0.559,-0.458,-0.505,-0.031,-0.596
105,-0.178,0,0.092,-0.193,0.248,0.381,0.353
106,0.269,0,0.072,-0.295,-0.184,0.118,-0.148
107,0.125,0,0.002,-0.202,0.157,0.238,0.039
108,-0.213,0,-0.391,-0.24,0.398,0.41,0.389
109,-0.071,0,-0.464,-0.186,0.149,0.165,0.24
110,-0.391,0,-0.161,-0.024,0.171,0.307,0.415
111,0.287,0,0.251,-0.001,0.197,0.454,0.449
112,0.701,0,0.238,0.027,0.497,0.551,0.409
113,0.036,0,0.435,0.267,0.832,0.909,0.466
114,0.054,0,0.116,0.04,0.996,0.854,0.41
115,0.413,0,0.232,0.041,1.016,0.766,0.399
116,-0.251,0,-0.032,-0.147,1.072,0.872,0.424
117,-0.285,0,-0.422,-0.123,0.552,0.389,-0.008
118,-0.589,0,-0.317,-0.049,0.66,0.481,0.27
119,-0.285,0,-0.336,-0.082,0.445,0.067,0.052
120,0.214,0,0.717,0.655,0.723,0.528,0.719
121,0.57,0,0.672,0.474,0.627,0.638,0.505
122,0.838,0,0.393,0.29,0.66,0.448,0.38
123,0.214,0,0.285,0.278,0.591,0.37,0.013
124,0.125,0,0.296,0.307,0.25,0.176,0.032
125,0.43,0,0.118,0.031,-0.041,-0.166,-0.042
126,0.054,0,0.073,-0.095,-0.647,-0.664,-0.151
127,-0.268,0,-0.157,-0.075,-0.582,-0.754,-0.227
128,0.323,0,-0.202,-0.204,-0.469,-0.769,-0.316
129,-0.572,0,-0.39,-0.658,-1.072,-1.288,-0.832
130,-0.503,0,-0.735,-0.963,-1.408,-1.401,-1.098
131,-1.143,0,-1.095,-1.286,-1.658,-1.482,-1.274
132,-2.276,0,-2.309,-2.052,-1.984,-1.87,-1.991
133,-2.745,0,-2.25,-2.078,-1.815,-1.901,-1.858
134,-2.934,0,-2.283,-2.047,-2.01,-1.982,-1.981
135,-1.925,0,-2.217,-2.176,-1.94,-1.802,-1.748
136,-2.281,0,-2.18,-2.12,-1.528,-1.265,-1.589
137,-1.768,0,-2.177,-2.201,-1.659,-1.474,-1.837
138,-1.971,0,-1.887,-1.965,-1.442,-1.152,-1.727
139,-1.775,0,-1.967,-2.03,-1.635,-1.281,-1.677
140,-1.969,0,-1.747,-1.836,-1.534,-1.286,-1.48
141,-1.673,0,-1.829,-1.581,-1.312,-0.796,-1.45
142,-1.155,0,-1.365,-1.214,-0.728,-0.678,-1.035
143,-1.246,0,-1.102,-1.02,-0.686,-0.39,-0.888
144,-0.364,0,-0.161,-0.389,0.405,-0.034,-0.321
145,-0.218,0,-0.22,-0.287,-0.14,-0.227,-0.42
146,-0.674,0,-0.209,-0.247,-0.009,-0.295,-0.481
147,-0.073,0,-0.132,-0.198,-0.445,-0.66,-0.554
148,0.128,0,-0.114,-0.305,-1.119,-1.054,-0.75
149,-0.109,0,-0.132,-0.136,-0.241,-0.64,-0.639
150,0.439,0,0.005,0.183,-0.295,-0.386,-0.378
151,-0.237,0,0.077,0.103,-0.203,-0.249,-0.334
152,0.219,0,0.219,0.107,-0.135,-0.204,-0.265
153,0.146,0,0.34,0.216,0.394,0.092,0.04
154,0.091,0,0.144,0.115,0.023,0.098,-0.095
155,0.439,0,0.257,0.222,0.28,0.189,0.078
156,0.201,0,-0.105,-0.171,-0.775,-0.331,-0.536
157,0.055,0,0.078,-0.085,-0.132,-0.211,-0.463
158,0.495,0,0.459,0.14,0.344,0.019,0.165
159,0.346,0,0.34,0.245,0.401,0.474,0.168
160,0.419,0,0.198,0.28,0.892,0.767,0.336
161,0.073,0,0.352,0.321,0.175,0.368,0.516
162,0.073,0,-0.028,0.001,0.242,0.183,0.089
163,1.098,0,0.172,0.104,0.167,0.239,-0.005
164,-0.474,0,0.099,0.073,0.213,0.32,-0.144
165,0.146,0,0.1,-0.202,-0.029,-0.055,-0.164
166,-0.182,0,0.049,-0.293,-0.107,-0.216,-0.187
167,-0.929,0,-0.104,-0.387,-0.031,-0.108,-0.318
168,-0.565,0,-0.92,-0.681,-0.252,-0.538,-0.136
169,-0.839,0,-0.872,-0.592,-0.051,-0.318,0.088
170,-0.602,0,-1.134,-0.732,-0.665,-0.5,-0.305
171,-1.595,0,-1.396,-0.898,-0.317,-0.614,-0.42
172,-1.633,0,-1.163,-0.791,-0.515,-0.75,-0.519
173,-0.764,0,-1.691,-1.044,-0.494,-0.852,-0.651
174,-1.473,0,-1.25,-0.787,-0.183,-0.5,-0.091
175,-2.153,0,-1.465,-0.617,0.207,-0.425,-0.043
176,-23.211,1,-1.593,-0.72,0.352,-0.299,0.139
177,-33.023,1,-1.528,-0.531,-0.03,-0.414,-0.329
178,-31.792,1,-1.346,-0.319,0.467,-0.108,-0.05
179,-29.614,1,-1.055,-0.21,0.393,-0.172,0.247
180,-28.941,1,0.09,0.436,1.163,0.618,0.161
181,-27.497,1,-0.04,0.41,1.046,0.616,0.327
182,-26.353,1,-0.036,0.415,1.518,0.646,0.327
183,-25.59,1,0.282,0.655,1.022,0.484,0.324
184,-24.654,1,0.282,0.567,1.382,0.656,0.552
185,-23.955,1,0.85,0.907,1.466,0.839,0.738
186,-22.688,1,0.416,0.61,0.919,0.218,0.161
187,-22.101,1,0.665,0.717,0.578,0.112,0.593
188,0.977,1,0.873,0.945,0.5,0.005,0.317
189,15.99,1,0.773,0.96,0.718,0.166,0.392
190,14.768,1,0.751,0.932,0.389,-0.142,0.271
191,12.536,1,0.808,1.062,0.525,0.015,0.352
192,12.768,1,0.38,0.861,0.218,-0.543,0.335
193,11.213,1,0.281,0.709,-0.295,-0.771,-0.053
194,9.768,1,0.372,0.801,-0.236,-0.838,0.226
195,7.873,1,0.17,0.668,0.325,-0.608,0.307
196,6.583,1,0.199,0.79,0.107,-0.549,0.202
197,5.977,1,0.154,0.816,0.158,-0.624,0.344
198,5.396,1,0.203,0.773,0.578,-0.202,0.423
199,5.176,1,0.259,0.728,0.527,-0.215,0.104
200,5.146,1,0.201,0.687,0.262,-0.362,0.164
201,5.801,1,0.317,0.771,0.473,-0.105,0.679
202,5.535,1,0.398,0.828,0.424,-0.137,0.582
203,5.314,1,0.195,0.708,0.11,-0.322,0.127
